GID,SIFRA_KO,BROJ,POVRSINA
"353","316580","378",294.000000000000000
"354","316580","301",774.000000000000000
"355","316580",351/4,308.000000000000000
"356","316580",351/3,293.000000000000000
"357","316580",349/31,212.000000000000000
"358","316580",351/6,109.000000000000000
"359","316580","331",1019.000000000000000
"360","316580",402/2,124.000000000000000
"361","316580",141/6,204.000000000000000
"362","316580",140/2,247.000000000000000
"363","316580",144/8,98.000000000000000
"364","316580",144/9,11.000000000000000
"365","316580",136/9,294.000000000000000
"366","316580",136/8,92.000000000000000
"367","316580",1174/17,3.000000000000000
"368","316580",351/2,319.000000000000000
"369","316580",302/2,43.000000000000000
"370","316580",165/1,12986.000000000000000
"371","316580","171",13136.000000000000000
"372","316580",327/1,11552.000000000000000
"373","316580",327/5,1410.000000000000000
"374","316580",327/2,949.000000000000000
"375","316580",1174/26,584.000000000000000
"376","316580",327/7,102.000000000000000
"377","316580","325",4925.000000000000000
"378","316580",327/4,4585.000000000000000
"379","316580",158/1,163.000000000000000
"380","316580",164/9,1287.000000000000000
"381","316580",328/4,129.000000000000000
"382","316580",328/5,70.000000000000000
"383","316580",163/5,14.000000000000000
"384","316580",1162/1,4750.000000000000000
"385","316580","367",442.000000000000000
"386","316580",139/4,635.000000000000000
"387","316580",139/5,473.000000000000000
"388","316580",1177/2,47.000000000000000
"389","316580",1177/3,712.000000000000000
"390","316580",1177/1,1047.000000000000000
"391","316580",373/2,2963.000000000000000
"392","316580",359/3,1752.000000000000000
"393","316580",362/2,1811.000000000000000
"394","316580","365",792.000000000000000
"395","316580",349/22,73.000000000000000
"396","316580",373/3,5134.000000000000000
"397","316580",351/10,67.000000000000000
"398","316580",1175/19,112.000000000000000
"399","316580",1175/18,99.000000000000000
"400","316580",139/10,246.000000000000000
"401","316580",139/9,592.000000000000000
"402","316580",1175/14,13.000000000000000
"403","316580",1175/15,92.000000000000000
"404","316580",351/9,144.000000000000000
"405","316580",138/8,199.000000000000000
"406","316580",138/9,250.000000000000000
"407","316580",139/8,96.000000000000000
"408","316580",138/10,43.000000000000000
"409","316580",351/8,66.000000000000000
"410","316580",1175/17,97.000000000000000
"411","316580",1175/20,7.000000000000000
"412","316580",136/10,183.000000000000000
"413","316580",352/4,3.000000000000000
"414","316580",1175/12,67.000000000000000
"415","316580",359/5,122.000000000000000
"416","316580",136/1,1065.000000000000000
"417","316580","123",6806.000000000000000
"418","316580","377",4697.000000000000000
"419","316580",403/1,2185.000000000000000
"420","316580","120",1739.000000000000000
"421","316580","1176",1175.000000000000000
"422","316580","414",30286.000000000000000
"423","316580","415",4411.000000000000000
"424","316580","417",2908.000000000000000
"425","316580","356",1964.000000000000000
"426","316580","355",1857.000000000000000
"427","316580","416",887.000000000000000
"428","316580",404/3,2135.000000000000000
"429","316580",403/2,2200.000000000000000
